n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max,m(G),subpath_value
8,9,1005.0,2232.0,slike_min/graf_min_n8_mu9.png,slike_max/graf_max_n8_mu9.png,G?Bf~{,G?~vf_,,
8,10,1437.0,2965.0,slike_min/graf_min_n8_mu10.png,slike_max/graf_max_n8_mu10.png,G?Bv~{,G?~vfo,,
8,11,1964.0,4022.0,slike_min/graf_min_n8_mu11.png,slike_max/graf_max_n8_mu11.png,G?B~~{,GC~vfo,,
8,12,3039.0,5436.0,slike_min/graf_min_n8_mu12.png,slike_max/graf_max_n8_mu12.png,G?b~~{,GFzfuw,,
8,13,4571.0,7468.0,slike_min/graf_min_n8_mu13.png,slike_max/graf_max_n8_mu13.png,G?r~~{,GFzvvW,,
8,14,6560.0,9677.0,slike_min/graf_min_n8_mu14.png,slike_max/graf_max_n8_mu14.png,G?z~~{,GFzf~w,,
8,15,8811.0,12558.0,slike_min/graf_min_n8_mu15.png,slike_max/graf_max_n8_mu15.png,GTm|~{,GFz~vw,,
8,16,12399.0,16475.0,slike_min/graf_min_n8_mu16.png,slike_max/graf_max_n8_mu16.png,GTm~~{,G]~vv[,,
8,17,17618.0,21680.0,slike_min/graf_min_n8_mu17.png,slike_max/graf_max_n8_mu17.png,GTn~~{,G]~v~w,,
8,18,24468.0,27099.0,slike_min/graf_min_n8_mu18.png,slike_max/graf_max_n8_mu18.png,GF~~~{,G]~v~{,,
8,19,32949.0,34058.0,slike_min/graf_min_n8_mu19.png,slike_max/graf_max_n8_mu19.png,GV~~~{,G]~~~{,,
8,20,43061.0,43061.0,slike_min/graf_min_n8_mu20.png,slike_max/graf_max_n8_mu20.png,G^~~~{,G^~~~{,,
8,21,54804.0,54804.0,slike_min/graf_min_n8_mu21.png,slike_max/graf_max_n8_mu21.png,G~~~~{,G~~~~{,,
9,5,355.0,,slike_min/graf_min_n9_mu5.png,,Hc?nwCB,,13.0,206.0
9,2,102.0,,,,H?AAF{_,,10.0,79.0
9,3,129.0,,,,H?`@F{O,,11.0,102.0
9,0,,,,,H???F}?,,8.0,45.0
9,1,,,,,H??CF|?,,9.0,60.0
9,4,,,,,H?FFwCB,,12.0,146.0
9,6,,,,,HmXBQH@,,14.0,295.0
9,7,,,,,H?BwN{D,,15.0,423.0
9,8,,,,,H?J~wKE,,16.0,634.0
9,9,,,,,HOBwN|D,,17.0,949.0
9,10,,,,,H_?V~{b,,18.0,1416.0
9,11,,,,,H?An~{F,,19.0,2149.0
9,12,,,,,H?sN~{J,,20.0,2948.0
9,13,,,,,H?~w^{L,,21.0,3894.0
9,14,,,,,HOB~~{F,,22.0,6055.0
9,15,,,,,HTm|~|?,,23.0,10770.0
9,16,,,,,HVe|~{P,,24.0,14748.0
9,17,,,,,HVm|~{P,,25.0,19903
