n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
17,5,348,2757,slike_min/graf_min_mu5_n17.png,slike_max/graf_max_mu5_n17.png,PG?GCB~?GDAC?C??_?G?@??C,P_?S?O?COKA?GHOCDO?B?_G?
18,5,376,3131,slike_min/graf_min_mu5_n18.png,slike_max/graf_max_mu5_n18.png,QG?GCB~?GDAC?C??_?G?@??C??G,Q?OS???CO[A?G@OOS?CB?A???aG
19,5,405,3529,slike_min/graf_min_mu5_n19.png,slike_max/graf_max_mu5_n19.png,RG?GCB~?GDAC?C??_?G?@??C??G??G,RG@K??CC?Aa?C?G_??cA?A_G?aQ?_?
20,5,435,3956,slike_min/graf_min_mu5_n20.png,slike_max/graf_max_mu5_n20.png,SG?GCB~?GDAC?C??_?G?@??C??G??G??C,S??c?H?C?Qa?????C?o?AA_C?AQ?aD@??
21,5,466,4389,slike_min/graf_min_mu5_n21.png,slike_max/graf_max_mu5_n21.png,TG?GCB~?GDAC?C??_?G?@??C??G??G??C??@,TA?cOZ?A??__??C@C?O??_?C?IO?A`@????G
22,5,498,4887,slike_min/graf_min_mu5_n22.png,slike_max/graf_max_mu5_n22.png,UG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G,UA??GY?A?__????@C?O??o@?OAPOA?@@?A?O__??
23,5,531,5374,slike_min/graf_min_mu5_n23.png,slike_max/graf_max_mu5_n23.png,VG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_,VA??GGOA?A_???G?C?O?cQ@??a@?G?g?A???a??CCA??
24,5,565,5873,slike_min/graf_min_mu5_n24.png,slike_max/graf_max_mu5_n24.png,WG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@,WA??GGOA?A????G???O?cQ@??a@?H?g?A??OAA?CCA????C
25,5,600,6451,slike_min/graf_min_mu5_n25.png,slike_max/graf_max_mu5_n25.png,XG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@,XA??G?OA?AG???GO??O?`OC??a@?@?H?A??OAA?CC???P???@O?
26,5,636,6999,slike_min/graf_min_mu5_n26.png,slike_max/graf_max_mu5_n26.png,YG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@???@????_,YA??G?OA??????G???O?`_W??a@?@?GCA???AA?CC???P???@OGO@?C?
