n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
18,3,282,987,slike_min/graf_min_mu3_n18.png,slike_max/graf_max_mu3_n18.png,Q??CA?_~w_@?@??A??_?C??O??_,QG????@gODP??A@_A??O???lS??
19,3,307,1109,slike_min/graf_min_mu3_n19.png,slike_max/graf_max_mu3_n19.png,R??CA?_~w_@?@??A??_?C??O??_??_,R`G?S???O?G_?A?_?C?P?CE?CAa?A?
20,3,333,1233,slike_min/graf_min_mu3_n20.png,slike_max/graf_max_mu3_n20.png,S??CA?_~w_@?@??A??_?C??O??_??_??O,S@a?AG????G@?_??@S??IH???g??a?_c?
21,3,360,1365,slike_min/graf_min_mu3_n21.png,slike_max/graf_max_mu3_n21.png,T??CA?_~w_@?@??A??_?C??O??_??_??O??C,T?o??C?W??O@??@@?_AA?GG_O_??_?c@??I?
22,3,388,1501,slike_min/graf_min_mu3_n22.png,slike_max/graf_max_mu3_n22.png,U??CA?_~w_@?@??A??_?C??O??_??_??O??C???_,UG????ACA?C?A?@?P???A?OcCoC?_?CG??GAOO??
23,3,417,1648,slike_min/graf_min_mu3_n23.png,slike_max/graf_max_mu3_n23.png,V??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A?,VGC???B???O?G?@?@?C???AcEO??_?aG?_@_?A?_G???
24,3,447,1805,slike_min/graf_min_mu3_n24.png,slike_max/graf_max_mu3_n24.png,W??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C,W???p??_G??GG?`????@CO??G_?A??_@@??@@A?_G?O??c?
25,3,478,1959,slike_min/graf_min_mu3_n25.png,slike_max/graf_max_mu3_n25.png,X??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C,X???P??OGO?G?O@GO_?CG??`W????C??CO?????__??_?@AH???
26,3,510,2131,slike_min/graf_min_mu3_n26.png,slike_max/graf_max_mu3_n26.png,Y??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C???A?,Y???o??OKO???A@G?_?C?_?@?A?AG`????C@?O??@??c?@???G????@_
27,3,543,2304,slike_min/graf_min_mu3_n27.png,slike_max/graf_max_mu3_n27.png,Z??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C???A????_,Z_???A?AHOG??`?G?_?A??????YA???_?C?@G?????O_?@???G?C??@AO??O
28,3,577,2482,slike_min/graf_min_mu3_n28.png,slike_max/graf_max_mu3_n28.png,[??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C???A????_???C,[_???@?G@?A??_?G?@??@@??C?_A?`???S????O????o????C_AE??@?O_?AA???
29,3,612,2670,slike_min/graf_min_mu3_n29.png,slike_max/graf_max_mu3_n29.png,\??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O,\_?G??_??DA??c_G????@D???O?A?_?G@???A??????_?@_???I????c??G?AC????G?O
30,3,648,2854,slike_min/graf_min_mu3_n30.png,slike_max/graf_max_mu3_n30.png,]??CA?_~w_@?@??A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O????_,]_?G????ODQ??O???C?G?O??_A?A??_A@???_??@?????G????G?C?@?@?D?OC????G?O??OO?
11,2,108,203,slike_min/graf_min_mu2_n11.png,slike_max/graf_max_mu2_n11.png,J???C@?~x??,JW?CaWW?_G_
12,2,124,243,slike_min/graf_min_mu2_n12.png,slike_max/graf_max_mu2_n12.png,K???C@?~x?A?,KGCC@QS@ACGA
13,2,141,287,slike_min/graf_min_mu2_n13.png,slike_max/graf_max_mu2_n13.png,L???C@?~x?A?A?,LC?@c@AAPG?aQ?
14,2,159,335,slike_min/graf_min_mu2_n14.png,slike_max/graf_max_mu2_n14.png,M???C@?~x?A?A?@??,MO@O@aGA__G?A@?a?
15,2,178,386,slike_min/graf_min_mu2_n15.png,slike_max/graf_max_mu2_n15.png,N???C@?~x?A?A?@??O?,N?OH??T_C??WGCCAG?O
16,2,198,441,slike_min/graf_min_mu2_n16.png,slike_max/graf_max_mu2_n16.png,O???C@?~x?A?A?@??O??O,OO?QG?_?Q??H_@CG@A?o?
17,2,219,497,slike_min/graf_min_mu2_n17.png,slike_max/graf_max_mu2_n17.png,P???C@?~x?A?A?@??O??O?@?,PO`?H@??oO??S?_??@?@IC?G
18,2,241,560,slike_min/graf_min_mu2_n18.png,slike_max/graf_max_mu2_n18.png,Q???C@?~x?A?A?@??O??O?@??A?,Q??G??@MC_??OOo@??_K?AG?A?_
19,2,264,628,slike_min/graf_min_mu2_n19.png,slike_max/graf_max_mu2_n19.png,R???C@?~x?A?A?@??O??O?@??A??A?,R?_a?`???E?AA?C@?_?_CGCA??_@@?
20,2,288,697,slike_min/graf_min_mu2_n20.png,slike_max/graf_max_mu2_n20.png,S???C@?~x?A?A?@??O??O?@??A??A??@?,SO??IOO??C_A?????CG?KS?aC?@O???AG
21,2,313,769,slike_min/graf_min_mu2_n21.png,slike_max/graf_max_mu2_n21.png,T???C@?~x?A?A?@??O??O?@??A??A??@???O,T?_C@@?C??G??GO??O?_O_?__K?I??O_?C?_
22,2,339,844,slike_min/graf_min_mu2_n22.png,slike_max/graf_max_mu2_n22.png,U???C@?~x?A?A?@??O??O?@??A??A??@???O??A?,U??@?_OG????W?A???g??@D?G_AA?CA??CG?_AC?
23,2,366,925,slike_min/graf_min_mu2_n23.png,slike_max/graf_max_mu2_n23.png,V???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G?,V__P???@G@???_?O_@????OG_C??GA??e??_?@??_??_
24,2,394,1011,slike_min/graf_min_mu2_n24.png,slike_max/graf_max_mu2_n24.png,W???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O,W??A`?GB?@?_??_?a???A?O_AC?G????C??o?A?@??AO??A
25,2,423,1095,slike_min/graf_min_mu2_n25.png,slike_max/graf_max_mu2_n25.png,X???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O,XC@?D?@AA????????S??AG@_I???C??__OG???O_O??C???@?C?
26,2,453,1182,slike_min/graf_min_mu2_n26.png,slike_max/graf_max_mu2_n26.png,Y???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O???G?,YC@?D?@AA????????S??AG@_I???C??__OG???O_O??C???@?C?G????
27,2,484,1278,slike_min/graf_min_mu2_n27.png,slike_max/graf_max_mu2_n27.png,Z???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O???G???A?,ZD???????@OGC????C??O?A?A?AC??G__@O???W?O??C??@??`??_A???G@?
28,2,516,1377,slike_min/graf_min_mu2_n28.png,slike_max/graf_max_mu2_n28.png,[???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O???G???A????O,[????G@???C?K?O??E?D?a?A?GA?O??????P????W????_?C??_??OK?G????@?G
29,2,549,1475,slike_min/graf_min_mu2_n29.png,slike_max/graf_max_mu2_n29.png,\???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O???G???A????O???@?,\????G@???C?K?O??E?D?a?A?GA?O??????P????W????_?C??_??OK?G????@?G?O???
30,2,583,1586,slike_min/graf_min_mu2_n30.png,slike_max/graf_max_mu2_n30.png,]???C@?~x?A?A?@??O??O?@??A??A??@???O??A???G???O???O???G???A????O???@????A?,]I??????G@??????_@@?????@??C???????XO?_?_?C????@?G???O@@o??C@??G?A@??@C@??
11,4,166,592,slike_min/graf_min_mu4_n11.png,slike_max/graf_max_mu4_n11.png,J?AA@?O~wO?,JXD?aOE?S@_
12,4,186,723,slike_min/graf_min_mu4_n12.png,slike_max/graf_max_mu4_n12.png,K?AA@?O~wO?@,KH_?Oqc?OGgP
13,4,207,866,slike_min/graf_min_mu4_n13.png,slike_max/graf_max_mu4_n13.png,L?AA@?O~wO?@?@,LHOKH?G_OcA??L
14,4,229,1023,slike_min/graf_min_mu4_n14.png,slike_max/graf_max_mu4_n14.png,M?AA@?O~wO?@?@??_,M_A@a_?B?P?QgG?Q?
15,4,252,1189,slike_min/graf_min_mu4_n15.png,slike_max/graf_max_mu4_n15.png,N?AA@?O~wO?@?@??_?G,NAq?@??_ACAKGC@gC@?
16,4,276,1370,slike_min/graf_min_mu4_n16.png,slike_max/graf_max_mu4_n16.png,O?AA@?O~wO?@?@??_?G?@,O?q?@@?_?CI?DAK?CA?F?
17,4,301,1568,slike_min/graf_min_mu4_n17.png,slike_max/graf_max_mu4_n17.png,P?AA@?O~wO?@?@??_?G?@??C,PgA???G?_?AODAQ?@?`A_?Y?
18,4,327,1775,slike_min/graf_min_mu4_n18.png,slike_max/graf_max_mu4_n18.png,Q?AA@?O~wO?@?@??_?G?@??C??G,Q`@?O??@G?AO?CCGH??ASgA?B??
19,4,354,1996,slike_min/graf_min_mu4_n19.png,slike_max/graf_max_mu4_n19.png,R?AA@?O~wO?@?@??_?G?@??C??G??G,RC?@H_??AWWC?C?G_?P?@C??GO???W
20,4,382,2230,slike_min/graf_min_mu4_n20.png,slike_max/graf_max_mu4_n20.png,S?AA@?O~wO?@?@??_?G?@??C??G??G??C,SC?@G_BO?G_??@o@??O?@A?CGO?A?P?@?
21,4,411,2470,slike_min/graf_min_mu4_n21.png,slike_max/graf_max_mu4_n21.png,T?AA@?O~wO?@?@??_?G?@??C??G??G??C??@,TC?H??PPE????@O@??O?@A?CC??_?P?C?B?C
22,4,441,2727,slike_min/graf_min_mu4_n22.png,slike_max/graf_max_mu4_n22.png,U?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G,UCGC???@?C_GW?G@??CA@AG?C??_?OH??@?COA??
23,4,472,3000,slike_min/graf_min_mu4_n23.png,slike_max/graf_max_mu4_n23.png,V?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_,VEG???_?_?_WQ?O???OA@@G?C??_??@_?@?C?A?c??G?
24,4,504,3287,slike_min/graf_min_mu4_n24.png,slike_max/graf_max_mu4_n24.png,W?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@,WCG???_?_??WA?E???OA@@G@C??_O?@_?@???E????HW???
25,4,537,3586,slike_min/graf_min_mu4_n25.png,slike_max/graf_max_mu4_n25.png,X?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@,XcA???_????WA?I????O@@G@@???O_@??@???C?O?C@?R??C?G?
26,4,571,3893,slike_min/graf_min_mu4_n26.png,slike_max/graf_max_mu4_n26.png,Y?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_,Yc?O??_???_WI?AA?A??_@G@@????_C??????_?_?C@?C?G_?G?O??G?
27,4,606,4203,slike_min/graf_min_mu4_n27.png,slike_max/graf_max_mu4_n27.png,Z?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G,Z_????_??WOWG??A_A?__AO@?????_C????C?_???C@?C?G??G@O??_A?@??
28,4,642,4554,slike_min/graf_min_mu4_n28.png,slike_max/graf_max_mu4_n28.png,[?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@,[??G??O??G?OG???_A?__AP??OC?????C_?Co_???S??C?G??O@O?@?A????A??@
29,4,679,4909,slike_min/graf_min_mu4_n29.png,slike_max/graf_max_mu4_n29.png,\?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C,\????GO??G?OI???oA?GG?O??OC?????C_?C__??OO??C?G??O@O?@?A?@?A???@C????
30,4,717,5262,slike_min/graf_min_mu4_n30.png,slike_max/graf_max_mu4_n30.png,]?AA@?O~wO?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G,]????GO????OGA??_A?WGOO?????@C????W??_?PO???C????O@O?@?_??OA???@C_??A??_??
