n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,PTC_max,KAKTUS_max
3,1,9,9,slike_min/graf_min_mu1_n3.png,slike_max/graf_max_mu1_n3.png,Bw,Bw,true,true,true,true
4,1,15,16,slike_min/graf_min_mu1_n4.png,slike_max/graf_max_mu1_n4.png,CV,C],true,true,true,true
5,1,22,25,slike_min/graf_min_mu1_n5.png,slike_max/graf_max_mu1_n5.png,DC{,DUW,true,true,true,true
6,1,30,36,slike_min/graf_min_mu1_n6.png,slike_max/graf_max_mu1_n6.png,E?bw,EEh_,true,true,true,true
7,1,39,49,slike_min/graf_min_mu1_n7.png,slike_max/graf_max_mu1_n7.png,F?AFw,FCp`_,true,true,true,true
8,1,49,64,slike_min/graf_min_mu1_n8.png,slike_max/graf_max_mu1_n8.png,G??CF{,G?qa`_,true,true,true,true
9,1,60,81,slike_min/graf_min_mu1_n9.png,slike_max/graf_max_mu1_n9.png,H???CB~,H?bB@_W,true,true,true,true
4,2,23,23,slike_min/graf_min_mu2_n4.png,slike_max/graf_max_mu2_n4.png,C^,C^,false,false,false,false
5,2,33,38,slike_min/graf_min_mu2_n5.png,slike_max/graf_max_mu2_n5.png,DQ{,DFw,true,true,false,false
6,2,43,56,slike_min/graf_min_mu2_n6.png,slike_max/graf_max_mu2_n6.png,ECRw,ECxo,true,true,false,false
7,2,54,78,slike_min/graf_min_mu2_n7.png,slike_max/graf_max_mu2_n7.png,F?`Fw,FCR`o,true,true,false,false
8,2,66,104,slike_min/graf_min_mu2_n8.png,slike_max/graf_max_mu2_n8.png,G?AAF{,GCOf?w,true,true,false,false
9,2,79,133,slike_min/graf_min_mu2_n9.png,slike_max/graf_max_mu2_n9.png,H??CAB~,H?`@f?[,true,true,false,false
4,3,34,34,slike_min/graf_min_mu3_n4.png,slike_max/graf_max_mu3_n4.png,C~,C~,false,false,false,false
5,3,51,57,slike_min/graf_min_mu3_n5.png,slike_max/graf_max_mu3_n5.png,DF{,D]w,false,false,false,false
6,3,67,88,slike_min/graf_min_mu3_n6.png,slike_max/graf_max_mu3_n6.png,ECZw,EEz_,false,false,false,false
7,3,73,125,slike_min/graf_min_mu3_n7.png,slike_max/graf_max_mu3_n7.png,FCOfw,FCpv?,true,true,false,false
8,3,87,170,slike_min/graf_min_mu3_n8.png,slike_max/graf_max_mu3_n8.png,G?`@F{,G?q`qg,true,true,false,false
9,3,102,221,slike_min/graf_min_mu3_n9.png,slike_max/graf_max_mu3_n9.png,H?AA@B~,H?BDbO[,true,true,false,false
5,4,78,83,slike_min/graf_min_mu4_n5.png,slike_max/graf_max_mu4_n5.png,DV{,D]{,false,false,false,false
6,4,99,141,slike_min/graf_min_mu4_n6.png,slike_max/graf_max_mu4_n6.png,E?~w,EFz_,false,false,false,false
7,4,123,204,slike_min/graf_min_mu4_n7.png,slike_max/graf_max_mu4_n7.png,F?`vw,FCxv?,false,false,false,false
8,4,127,281,slike_min/graf_min_mu4_n8.png,slike_max/graf_max_mu4_n8.png,G?`@f{,GCR`r_,false,false,false,false
9,4,129,372,slike_min/graf_min_mu4_n9.png,slike_max/graf_max_mu4_n9.png,H?`@?b~,HCOf@pS,true,true,false,false
5,5,116,116,slike_min/graf_min_mu5_n5.png,slike_max/graf_max_mu5_n5.png,D^{,D^{,false,false,false,false
6,5,154,196,slike_min/graf_min_mu5_n6.png,slike_max/graf_max_mu5_n6.png,EC~w,EFzo,false,false,false,false
7,5,173,306,slike_min/graf_min_mu5_n7.png,slike_max/graf_max_mu5_n7.png,F?B~w,FCxv_,false,false,false,false
8,5,186,460,slike_min/graf_min_mu5_n8.png,slike_max/graf_max_mu5_n8.png,GCOcf{,GCrb`o,false,false,false,false
9,5,206,615,slike_min/graf_min_mu5_n9.png,slike_max/graf_max_mu5_n9.png,H?AB?r~,HCQf@pS,false,false,false,false
5,6,165,165,slike_min/graf_min_mu6_n5.png,slike_max/graf_max_mu6_n5.png,D~{,D~{,false,false,false,false
6,6,231,279,slike_min/graf_min_mu6_n6.png,slike_max/graf_max_mu6_n6.png,ETnw,E]yw,false,false,false,false
7,6,268,445,slike_min/graf_min_mu6_n7.png,slike_max/graf_max_mu6_n7.png,F?b~w,F?~v_,false,false,false,false
8,6,279,667,slike_min/graf_min_mu6_n8.png,slike_max/graf_max_mu6_n8.png,G??F~{,G?o~f_,false,false,false,false
9,6,295,969,slike_min/graf_min_mu6_n9.png,slike_max/graf_max_mu6_n9.png,H?`CPb~,H?q`qjo,false,false,false,false
6,7,345,402,slike_min/graf_min_mu7_n6.png,slike_max/graf_max_mu7_n6.png,EF~w,E]~o,false,false,false,false
7,7,418,650,slike_min/graf_min_mu7_n7.png,slike_max/graf_max_mu7_n7.png,F?r~w,FFzf_,false,false,false,false
8,7,426,986,slike_min/graf_min_mu7_n8.png,slike_max/graf_max_mu7_n8.png,G?AF~{,G?zVf_,false,false,false,false
