n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
18,2,241,559,slike_min/graf_min_mu2_n18.png,slike_max/graf_max_mu2_n18.png,Q???C@?~w?_A?C?C?A??_?C??O?,Q??A?GKE??S?C??Q?@?CCW?GGC?
19,2,264,628,slike_min/graf_min_mu2_n19.png,slike_max/graf_max_mu2_n19.png,R???C@?~w?_A?C?C?A??_?C??O??_?,R??C@?@B?O?P?CP?A???DK?A@?A@??
20,2,288,696,slike_min/graf_min_mu2_n20.png,slike_max/graf_max_mu2_n20.png,S???C@?~w?_A?C?C?A??_?C??O??_??_?,S??_GSSC??G?O?AAGAC???_C?C??SC??G
21,2,313,767,slike_min/graf_min_mu2_n21.png,slike_max/graf_max_mu2_n21.png,T???C@?~w?_A?C?C?A??_?C??O??_??_??O?,TGB?g??A??A??W?QO??@?GA??c??`?OC???C
22,2,339,844,slike_min/graf_min_mu2_n22.png,slike_max/graf_max_mu2_n22.png,U???C@?~w?_A?C?C?A??_?C??O??_??_??O??C??,UQ?W?O?O@??W??????P??_?Q?O?@A??P??C_?g??
23,2,366,927,slike_min/graf_min_mu2_n23.png,slike_max/graf_max_mu2_n23.png,V???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??,VO???C?C@C???C?@i?AA?@?AG??@??P???OAH???GG??
24,2,394,1009,slike_min/graf_min_mu2_n24.png,slike_max/graf_max_mu2_n24.png,W???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A??,W????c?`@C?OA??@o@A??????_?_?O@?_?O@??@???Oh???
25,2,423,1097,slike_min/graf_min_mu2_n25.png,slike_max/graf_max_mu2_n25.png,X???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C??,XG???_?_?C@O?G??_GG??A??_??g??A?G?_O?AC@?_?OO??B???
26,2,453,1184,slike_min/graf_min_mu2_n26.png,slike_max/graf_max_mu2_n26.png,Y???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???,YG???_?_?C@O?G??_GG??A??_??g??A?G?_O?AC@?_?OO??B???O????
27,2,484,1278,slike_min/graf_min_mu2_n27.png,slike_max/graf_max_mu2_n27.png,Z???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A???,Z??G?@?c?@?O?G??????Ag??_??q?@?G?AA???G??AG??E?A??CO???_??G?
