n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
9,5,45,94,slike_geodesic_min/graf_geodesic_min_mu5_n9.png,slike_geodesic_max/graf_geodesic_max_mu5_n9.png,H?`@CR~,H?B@vbo,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
5,6,15,15,slike_geodesic_min/graf_geodesic_min_mu6_n5.png,slike_geodesic_max/graf_geodesic_max_mu6_n5.png,D~{,D~{,true,false,false,4,10,0,0,0,true,false,false,4,10,0,0,0
6,6,21,30,slike_geodesic_min/graf_geodesic_min_mu6_n6.png,slike_geodesic_max/graf_geodesic_max_mu6_n6.png,ETnw,EFzw,true,false,false,5,10,0,0,0,false,false,false,5,6,3,0,0
7,6,28,49,slike_geodesic_min/graf_geodesic_min_mu6_n7.png,slike_geodesic_max/graf_geodesic_max_mu6_n7.png,FCe^w,F?~v_,true,false,false,6,10,0,0,0,false,false,true,4,0,18,0,0
8,6,36,72,slike_geodesic_min/graf_geodesic_min_mu6_n8.png,slike_geodesic_max/graf_geodesic_max_mu6_n8.png,G?aK^{,G?zTf_,true,false,false,7,10,0,0,0,false,false,true,4,0,12,0,1
9,6,45,96,slike_geodesic_min/graf_geodesic_min_mu6_n9.png,slike_geodesic_max/graf_geodesic_max_mu6_n9.png,H?ACKN~,H?r@fbo,true,false,false,8,10,0,0,0,false,false,true,4,0,13,0,0
6,7,24,30,slike_geodesic_min/graf_geodesic_min_mu7_n6.png,slike_geodesic_max/graf_geodesic_max_mu7_n6.png,ET~w,E]~o,true,false,false,5,11,0,0,0,true,false,false,4,8,3,0,0
7,7,28,47,slike_geodesic_min/graf_geodesic_min_mu7_n7.png,slike_geodesic_max/graf_geodesic_max_mu7_n7.png,FQinw,FFzf_,true,false,false,6,11,0,0,0,false,false,false,4,3,15,0,0
8,7,36,74,slike_geodesic_min/graf_geodesic_min_mu7_n8.png,slike_geodesic_max/graf_geodesic_max_mu7_n8.png,GCQSn{,G?zVf_,true,false,false,7,11,0,0,0,false,false,true,4,0,19,0,0
9,7,45,99,slike_geodesic_min/graf_geodesic_min_mu7_n9.png,slike_geodesic_max/graf_geodesic_max_mu7_n9.png,H?`CSV~,H?ovFbo,true,false,false,8,11,0,0,0,false,false,true,4,0,17,0,0
6,8,25,27,slike_geodesic_min/graf_geodesic_min_mu8_n6.png,slike_geodesic_max/graf_geodesic_max_mu8_n6.png,EV~w,E]~w,true,false,false,5,13,0,0,0,true,false,false,5,12,1,0,0
7,8,32,46,slike_geodesic_min/graf_geodesic_min_mu8_n7.png,slike_geodesic_max/graf_geodesic_max_mu8_n7.png,FCv^w,FFzfo,true,false,false,6,13,0,0,0,false,false,false,5,6,12,0,0
8,8,37,74,slike_geodesic_min/graf_geodesic_min_mu8_n8.png,slike_geodesic_max/graf_geodesic_max_mu8_n8.png,GCdcv{,G?zvf_,true,false,false,7,12,0,0,0,false,false,true,4,0,27,0,0
9,8,45,105,slike_geodesic_min/graf_geodesic_min_mu8_n9.png,slike_geodesic_max/graf_geodesic_max_mu8_n9.png,HCOccf~,H?ovfbo,true,false,false,8,12,0,0,0,false,false,true,4,0,24,0,0
10,1,55,72,slike_geodesic_min/graf_geodesic_min_mu1_n10.png,slike_geodesic_max/graf_geodesic_max_mu1_n10.png,I???CB~O?,IAa@@OKP?,true,true,false,8,1,0,0,0,true,true,true,3,0,1,0,0
11,1,66,87,slike_geodesic_min/graf_geodesic_min_mu1_n11.png,slike_geodesic_max/graf_geodesic_max_mu1_n11.png,J???CB~O@??,JAa@@OKP?O?,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
12,1,78,104,slike_geodesic_min/graf_geodesic_min_mu1_n12.png,slike_geodesic_max/graf_geodesic_max_mu1_n12.png,K???CB~O@?A?,K@cH@?C@ACD?,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
