n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
25,3,325,1045,slike_geodesic_min/graf_geodesic_min_mu3_n25.png,slike_geodesic_max/graf_geodesic_max_mu3_n25.png,X??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O,X?G_AD?_??@og??P????O_?A_??_?A_@A???_?C??@?O???_???,true,false,false,8,4,0,0,0,true,true,true,8,0,3,0,0
26,3,351,1146,slike_geodesic_min/graf_geodesic_min_mu3_n26.png,slike_geodesic_max/graf_geodesic_max_mu3_n26.png,Y??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G?,Y?G_AD?_??@og??P????O_?A_??_?A_@???@_?C??@?O???_???_????,true,false,false,8,4,0,0,0,true,true,true,8,0,3,0,0
27,3,378,1248,slike_geodesic_min/graf_geodesic_min_mu3_n27.png,slike_geodesic_max/graf_geodesic_max_mu3_n27.png,Z??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A?,Z?G_AD?_??@og??P????O_?A_??_?A_@???@_?C??@?O???_???_???O????,true,false,false,8,4,0,0,0,true,true,true,9,0,3,0,0
28,3,406,1358,slike_geodesic_min/graf_geodesic_min_mu3_n28.png,slike_geodesic_max/graf_geodesic_max_mu3_n28.png,[??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O,[?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_???O???C????,true,false,false,8,4,0,0,0,true,true,true,10,0,3,0,0
29,3,435,1469,slike_geodesic_min/graf_geodesic_min_mu3_n29.png,slike_geodesic_max/graf_geodesic_max_mu3_n29.png,\??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@?,\?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_???O???C????_????,true,false,false,8,4,0,0,0,true,true,true,11,0,3,0,0
30,3,465,1588,slike_geodesic_min/graf_geodesic_min_mu3_n30.png,slike_geodesic_max/graf_geodesic_max_mu3_n30.png,]??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@????A?,]?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_?????A?C????_???A?????,true,false,false,8,4,0,0,0,true,true,true,11,0,3,0,0
10,4,55,111,slike_geodesic_min/graf_geodesic_min_mu4_n10.png,slike_geodesic_max/graf_geodesic_max_mu4_n10.png,I?AACJ~G?,Il@?WacB?,true,false,false,8,5,0,0,0,false,false,true,4,0,6,0,0
11,4,66,145,slike_geodesic_min/graf_geodesic_min_mu4_n11.png,slike_geodesic_max/graf_geodesic_max_mu4_n11.png,J?AACJ~G?_?,JC`_S?X[OG?,true,false,false,8,5,0,0,0,false,false,true,4,0,6,0,0
12,4,78,182,slike_geodesic_min/graf_geodesic_min_mu4_n12.png,slike_geodesic_max/graf_geodesic_max_mu4_n12.png,K?AACJ~G?_@?,KoOG`_A_R?_W,true,false,false,8,5,0,0,0,false,false,true,4,0,6,0,0
13,4,91,210,slike_geodesic_min/graf_geodesic_min_mu4_n13.png,slike_geodesic_max/graf_geodesic_max_mu4_n13.png,L?AACJ~G?_@??C,LOS_@?_t?F@?_O,true,false,false,8,5,0,0,0,true,false,true,4,0,4,0,0
14,4,105,289,slike_geodesic_min/graf_geodesic_min_mu4_n14.png,slike_geodesic_max/graf_geodesic_max_mu4_n14.png,M?AACJ~G?_@??C?A?,MOS_@?_tGE@?GA?_?,true,false,false,8,5,0,0,0,false,false,true,5,0,5,0,0
15,4,120,356,slike_geodesic_min/graf_geodesic_min_mu4_n15.png,slike_geodesic_max/graf_geodesic_max_mu4_n15.png,N?AACJ~G?_@??C?A??_,N?C`E@?@GSC@GCGCGA?,true,false,false,8,5,0,0,0,false,false,true,5,0,5,0,0
16,4,136,424,slike_geodesic_min/graf_geodesic_min_mu4_n16.png,slike_geodesic_max/graf_geodesic_max_mu4_n16.png,O?AACJ~G?_@??C?A??_?C,O?C`E@?@GSC@GCGCGAC??,true,false,false,8,5,0,0,0,false,false,true,5,0,5,0,0
17,4,153,504,slike_geodesic_min/graf_geodesic_min_mu4_n17.png,slike_geodesic_max/graf_geodesic_max_mu4_n17.png,P?AACJ~G?_@??C?A??_?C??O,P?C`C@?@GSC@OCGCCAE???A?,true,false,false,8,5,0,0,0,false,false,true,5,0,5,0,0
18,4,171,553,slike_geodesic_min/graf_geodesic_min_mu4_n18.png,slike_geodesic_max/graf_geodesic_max_mu4_n18.png,Q?AACJ~G?_@??C?A??_?C??O??_,Qc?P?O?@_??DSCGCC@CO??A?_G?,true,false,false,8,5,0,0,0,true,false,true,4,0,4,0,0
19,4,190,743,slike_geodesic_min/graf_geodesic_min_mu4_n19.png,slike_geodesic_max/graf_geodesic_max_mu4_n19.png,R?AACJ~G?_@??C?A??_?C??O??_??_,R?CPC?O@a???CCGCC@CPG?A?_G???O,true,false,false,8,5,0,0,0,true,true,true,4,0,4,0,0
20,4,210,856,slike_geodesic_min/graf_geodesic_min_mu4_n20.png,slike_geodesic_max/graf_geodesic_max_mu4_n20.png,S?AACJ~G?_@??C?A??_?C??O??_??_??O,S?CS?_?@A???CCGCC@CRG?A?_G???P?_?,true,false,false,8,5,0,0,0,true,true,true,5,0,4,0,0
21,4,231,985,slike_geodesic_min/graf_geodesic_min_mu4_n21.png,slike_geodesic_max/graf_geodesic_max_mu4_n21.png,T?AACJ~G?_@??C?A??_?C??O??_??_??O??C,T?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?,true,false,false,8,5,0,0,0,true,true,true,6,0,4,0,0
22,4,253,1115,slike_geodesic_min/graf_geodesic_min_mu4_n22.png,slike_geodesic_max/graf_geodesic_max_mu4_n22.png,U?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_,U?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?,true,false,false,8,5,0,0,0,true,true,true,7,0,4,0,0
23,4,276,1261,slike_geodesic_min/graf_geodesic_min_mu4_n23.png,slike_geodesic_max/graf_geodesic_max_mu4_n23.png,V?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A?,V?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?C???,true,false,false,8,5,0,0,0,true,true,true,7,0,4,0,0
24,4,300,1408,slike_geodesic_min/graf_geodesic_min_mu4_n24.png,slike_geodesic_max/graf_geodesic_max_mu4_n24.png,W?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C,W?CO?_?@????CCGCC@ERG?A?_G???P?_?AG???C?C????A?,true,false,false,8,5,0,0,0,true,true,true,8,0,4,0,0
25,4,325,1571,slike_geodesic_min/graf_geodesic_min_mu4_n25.png,slike_geodesic_max/graf_geodesic_max_mu4_n25.png,X?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C,X?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?????C??_?A???C?,true,false,false,8,5,0,0,0,true,true,true,8,0,4,0,0
26,4,351,1735,slike_geodesic_min/graf_geodesic_min_mu4_n26.png,slike_geodesic_max/graf_geodesic_max_mu4_n26.png,Y?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A?,Y?CO?_?@????CCGCC@ERG?A?_G???P?_?AG?????C??_?A???C???C??,true,false,false,8,5,0,0,0,true,true,true,9,0,4,0,0
27,4,378,1915,slike_geodesic_min/graf_geodesic_min_mu4_n27.png,slike_geodesic_max/graf_geodesic_max_mu4_n27.png,Z?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_,Z?CO?_?@????CCGCC@?QG???_G??OP?_?A_?????C?C_?A?o?C???C???A??,true,false,false,8,5,0,0,0,true,true,true,7,0,4,0,0
28,4,406,2096,slike_geodesic_min/graf_geodesic_min_mu4_n28.png,slike_geodesic_max/graf_geodesic_max_mu4_n28.png,[?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C,[?CO?_?@????CCGCC@?QG???_G??OP?_?A_?????C?C_?A?o?C???C???A????_?,true,false,false,8,5,0,0,0,true,true,true,8,0,4,0,0
29,4,435,2293,slike_geodesic_min/graf_geodesic_min_mu4_n29.png,slike_geodesic_max/graf_geodesic_max_mu4_n29.png,\?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O,\_?O?_?@?@??CCGCC@?QG???_G??OP?_?A_??G??C?????CO?C?C?C???A????_???C??,true,false,false,8,5,0,0,0,true,true,true,8,0,4,0,0
30,4,465,2491,slike_geodesic_min/graf_geodesic_min_mu4_n30.png,slike_geodesic_max/graf_geodesic_max_mu4_n30.png,]?AACJ~G?_@??C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O????_,]_?O?_?@?@??CCGCC@?QG???_G??OP?_?A_??G??C?????CO?C?C?C???A????_???C????O??,true,false,false,8,5,0,0,0,true,true,true,9,0,4,0,0
10,5,55,126,slike_geodesic_min/graf_geodesic_min_mu5_n10.png,slike_geodesic_max/graf_geodesic_max_mu5_n10.png,I?`@CR~C?,IGcs@aOBW,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
11,5,66,159,slike_geodesic_min/graf_geodesic_min_mu5_n11.png,slike_geodesic_max/graf_geodesic_max_mu5_n11.png,J?`@CR~C??_,J@a?[EAEII?,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
12,5,78,200,slike_geodesic_min/graf_geodesic_min_mu5_n12.png,slike_geodesic_max/graf_geodesic_max_mu5_n12.png,K?`@CR~C??_@,KCiaa?[GCDC?,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
13,5,91,242,slike_geodesic_min/graf_geodesic_min_mu5_n13.png,slike_geodesic_max/graf_geodesic_max_mu5_n13.png,L?`@CR~C??_@?@,LGcGGFOOCg@P?_,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
14,5,105,298,slike_geodesic_min/graf_geodesic_min_mu5_n14.png,slike_geodesic_max/graf_geodesic_max_mu5_n14.png,M?`@CR~C??_@?@??_,M?c?GUO?K_`OWC?G_,true,false,false,8,6,0,0,0,false,false,true,4,0,7,0,0
15,5,120,365,slike_geodesic_min/graf_geodesic_min_mu5_n15.png,slike_geodesic_max/graf_geodesic_max_mu5_n15.png,N?`@CR~C??_@?@??_?G,Na?oOOGOC_@?_C?goAG,true,false,false,8,6,0,0,0,false,false,true,4,0,7,0,0
16,5,136,509,slike_geodesic_min/graf_geodesic_min_mu5_n16.png,slike_geodesic_max/graf_geodesic_max_mu5_n16.png,O?`@CR~C??_@?@??_?G?@,O?Op@_GA@?Q?c?OiO?@_?,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
17,5,153,624,slike_geodesic_min/graf_geodesic_min_mu5_n17.png,slike_geodesic_max/graf_geodesic_max_mu5_n17.png,P?`@CR~C??_@?@??_?G?@??C,P_?p@_GA@?Q?c??iO?@_?A?O,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
18,5,171,759,slike_geodesic_min/graf_geodesic_min_mu5_n18.png,slike_geodesic_max/graf_geodesic_max_mu5_n18.png,Q?`@CR~C??_@?@??_?G?@??C??G,Q??p??GQ@?Q?_O?iQ?@_?A?Oo??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
19,5,190,899,slike_geodesic_min/graf_geodesic_min_mu5_n19.png,slike_geodesic_max/graf_geodesic_max_mu5_n19.png,R?`@CR~C??_@?@??_?G?@??C??G??G,R?Op_?GO@?Q??C?IQ?@?AA?O_@CA??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
20,5,210,1059,slike_geodesic_min/graf_geodesic_min_mu5_n20.png,slike_geodesic_max/graf_geodesic_max_mu5_n20.png,S?`@CR~C??_@?@??_?G?@??C??G??G??C,S?Op_?G?@?Q?OC?IQ?@?AA?O_@CA??A??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
21,5,231,1224,slike_geodesic_min/graf_geodesic_min_mu5_n21.png,slike_geodesic_max/graf_geodesic_max_mu5_n21.png,T?`@CR~C??_@?@??_?G?@??C??G??G??C??@,T?Op_?GO@?Q??C?IO?@?AA?O_@?O?CA?AO??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
22,5,253,1409,slike_geodesic_min/graf_geodesic_min_mu5_n22.png,slike_geodesic_max/graf_geodesic_max_mu5_n22.png,U?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G,U?Op_?GO@?Q??C?IO????A?O_@?O?CA?aO??G?O?,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
23,5,276,1599,slike_geodesic_min/graf_geodesic_min_mu5_n23.png,slike_geodesic_max/graf_geodesic_max_mu5_n23.png,V?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_,V?Opc?GO@?Q??C?IO??A?A?O_@?O???_AO??G?O?A???,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
24,5,300,1809,slike_geodesic_min/graf_geodesic_min_mu5_n24.png,slike_geodesic_max/graf_geodesic_max_mu5_n24.png,W?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@,W?Op_?GO@?Q?O??I?G???A?Q@?O??G?CAO??G?O???AE???,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
25,5,325,2024,slike_geodesic_min/graf_geodesic_min_mu5_n25.png,slike_geodesic_max/graf_geodesic_max_mu5_n25.png,X?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@,X?O`_?GO@?Q?O?@I?G???A?Q@?O??GO?AO??G?O???AE?????_?,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
26,5,351,2259,slike_geodesic_min/graf_geodesic_min_mu5_n26.png,slike_geodesic_max/graf_geodesic_max_mu5_n26.png,Y?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_,Y?O@_?GP@?Q????I?G???A?Q????CG??AO??G?O?AC?E???O?COK????,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
27,5,378,2499,slike_geodesic_min/graf_geodesic_min_mu5_n27.png,slike_geodesic_max/graf_geodesic_max_mu5_n27.png,Z?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G,Z?OH_?G@@?Q????I?G???A?Q??C?C??_AO??G?O?A?GE?????COK?????C??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
28,5,406,2759,slike_geodesic_min/graf_geodesic_min_mu5_n28.png,slike_geodesic_max/graf_geodesic_max_mu5_n28.png,[?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@,[?OH_?G@@?Q????I?G???A?Q??C?C??_AO??G?O?A?GE?????COK?????C?????C,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
29,5,435,3024,slike_geodesic_min/graf_geodesic_min_mu5_n29.png,slike_geodesic_max/graf_geodesic_max_mu5_n29.png,\?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C,\?OH_?G@@?Q????I?G???A?Q??C?C???AO??G?O?A?GE?????COK?????C?A???C??G??,true,false,false,8,6,0,0,0,false,false,true,5,0,6,0,0
30,5,465,3815,slike_geodesic_min/graf_geodesic_min_mu5_n30.png,slike_geodesic_max/graf_geodesic_max_mu5_n30.png,]?`@CR~C??_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G,]?OH_?G???q???O??????A?Q?A?A??@_AO??G?OC?C?E?????C????_??O??O??C?OG?G_@???,true,false,false,8,6,0,0,0,true,true,true,5,0,5,0,0
10,6,55,128,slike_geodesic_min/graf_geodesic_min_mu6_n10.png,slike_geodesic_max/graf_geodesic_max_mu6_n10.png,I?ACKN~O?,I_Kr_WK[?,true,false,false,8,10,0,0,0,false,false,true,4,0,13,0,0
11,6,66,169,slike_geodesic_min/graf_geodesic_min_mu6_n11.png,slike_geodesic_max/graf_geodesic_max_mu6_n11.png,J?ACKN~O@??,JsSIk?CGOT?,true,false,false,8,10,0,0,0,false,false,true,4,0,11,0,0
12,6,78,213,slike_geodesic_min/graf_geodesic_min_mu6_n12.png,slike_geodesic_max/graf_geodesic_max_mu6_n12.png,K?ACKN~O@?A?,K??TOGPkQHEG,true,false,false,8,10,0,0,0,false,false,true,4,0,11,0,0
13,6,91,249,slike_geodesic_min/graf_geodesic_min_mu6_n13.png,slike_geodesic_max/graf_geodesic_max_mu6_n13.png,L?ACKN~O@?A?A?,LG?HAChD?HAao_,true,false,false,8,10,0,0,0,false,false,false,4,2,6,0,0
14,6,105,321,slike_geodesic_min/graf_geodesic_min_mu6_n14.png,slike_geodesic_max/graf_geodesic_max_mu6_n14.png,M?ACKN~O@?A?A??C?,M_?XQCHC?LO?gO@C?,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
15,6,120,442,slike_geodesic_min/graf_geodesic_min_mu6_n15.png,slike_geodesic_max/graf_geodesic_max_mu6_n15.png,N?ACKN~O@?A?A??C?@?,N_?wOCHK?LOG_O@C?A?,true,false,false,8,10,0,0,0,false,false,true,5,0,9,0,0
16,6,136,504,slike_geodesic_min/graf_geodesic_min_mu6_n16.png,slike_geodesic_max/graf_geodesic_max_mu6_n16.png,O?ACKN~O@?A?A??C?@??G,O_?WOCXG?LOG_O@C?a??_,true,false,false,8,10,0,0,0,false,false,true,5,0,9,0,0
17,6,153,678,slike_geodesic_min/graf_geodesic_min_mu6_n17.png,slike_geodesic_max/graf_geodesic_max_mu6_n17.png,P?ACKN~O@?A?A??C?@??G??_,P_GO_CPA?LOG_OGC?aA??@C?,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
18,6,171,860,slike_geodesic_min/graf_geodesic_min_mu6_n18.png,slike_geodesic_max/graf_geodesic_max_mu6_n18.png,Q?ACKN~O@?A?A??C?@??G??_?@?,Q?GO_CPA?LOGo?GC?aCA?@C?_??,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
19,6,190,1043,slike_geodesic_min/graf_geodesic_min_mu6_n19.png,slike_geodesic_max/graf_geodesic_max_mu6_n19.png,R?ACKN~O@?A?A??C?@??G??_?@??@?,R_GOaCPA?LO?_OG??aC??@C?_O??A?,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
20,6,210,1231,slike_geodesic_min/graf_geodesic_min_mu6_n20.png,slike_geodesic_max/graf_geodesic_max_mu6_n20.png,S?ACKN~O@?A?A??C?@??G??_?@??@???_,S_GOaCPA?LO?_OG??aC??@C?_O??AC???,true,false,false,8,10,0,0,0,false,false,true,5,0,8,0,0
21,6,231,1447,slike_geodesic_min/graf_geodesic_min_mu6_n21.png,slike_geodesic_max/graf_geodesic_max_mu6_n21.png,T?ACKN~O@?A?A??C?@??G??_?@??@???_??G,T_GOaCPA?LO?_????aCA?@C?_O@?A@????A?,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
22,6,253,1668,slike_geodesic_min/graf_geodesic_min_mu6_n22.png,slike_geodesic_max/graf_geodesic_max_mu6_n22.png,U?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@?,U_GOaCPA?LO?_????aCA?@C?_O@?A@????A?_???,true,false,false,8,10,0,0,0,false,false,true,5,0,8,0,0
23,6,276,1917,slike_geodesic_min/graf_geodesic_min_mu6_n23.png,slike_geodesic_max/graf_geodesic_max_mu6_n23.png,V?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C?,V_GOaCPA?L???@???aCA?@C?_O??A@?A???@_@?????_,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
24,6,300,2171,slike_geodesic_min/graf_geodesic_min_mu6_n24.png,slike_geodesic_max/graf_geodesic_max_mu6_n24.png,W?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G,W_GOaCPA?L???@???aCA?@C?_O???@?A???@_@?_???c???,true,false,false,8,10,0,0,0,false,false,true,4,0,8,0,0
25,6,325,2453,slike_geodesic_min/graf_geodesic_min_mu6_n25.png,slike_geodesic_max/graf_geodesic_max_mu6_n25.png,X?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G,X_GOaCPA?L???@???aCA?@C?_O???@?A???@_@?_???c???G???,true,false,false,8,10,0,0,0,false,false,true,5,0,8,0,0
26,6,351,2982,slike_geodesic_min/graf_geodesic_min_mu6_n26.png,slike_geodesic_max/graf_geodesic_max_mu6_n26.png,Y?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@?,true,false,false,8,10,0,0,0,true,false,true,5,0,6,0,0
27,6,378,3415,slike_geodesic_min/graf_geodesic_min_mu6_n27.png,slike_geodesic_max/graf_geodesic_max_mu6_n27.png,Z?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,Z_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_,true,false,false,8,10,0,0,0,true,false,true,6,0,6,0,0
28,6,406,3849,slike_geodesic_min/graf_geodesic_min_mu6_n28.png,slike_geodesic_max/graf_geodesic_max_mu6_n28.png,[?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G,true,false,false,8,10,0,0,0,true,false,true,7,0,6,0,0
29,6,435,4284,slike_geodesic_min/graf_geodesic_min_mu6_n29.png,slike_geodesic_max/graf_geodesic_max_mu6_n29.png,\?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G???@?,true,false,false,8,10,0,0,0,true,false,true,8,0,6,0,0
30,6,465,4767,slike_geodesic_min/graf_geodesic_min_mu6_n30.png,slike_geodesic_max/graf_geodesic_max_mu6_n30.png,]?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G???@????G?,true,false,false,8,10,0,0,0,true,false,true,8,0,6,0,0
10,7,55,144,slike_geodesic_min/graf_geodesic_min_mu7_n10.png,slike_geodesic_max/graf_geodesic_max_mu7_n10.png,I?`CSV~G?,IIdGSks__,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
11,7,66,192,slike_geodesic_min/graf_geodesic_min_mu7_n11.png,slike_geodesic_max/graf_geodesic_max_mu7_n11.png,J?`CSV~G?_?,JYCQXe?oOW?,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
12,7,78,256,slike_geodesic_min/graf_geodesic_min_mu7_n12.png,slike_geodesic_max/graf_geodesic_max_mu7_n12.png,K?`CSV~G?_?A,Kc?hAdQGWKo?,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
13,7,91,321,slike_geodesic_min/graf_geodesic_min_mu7_n13.png,slike_geodesic_max/graf_geodesic_max_mu7_n13.png,L?`CSV~G?_?A?A,Lc?hAdQGWKo?@?,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
14,7,105,402,slike_geodesic_min/graf_geodesic_min_mu7_n14.png,slike_geodesic_max/graf_geodesic_max_mu7_n14.png,M?`CSV~G?_?A?A?@?,Mc_`AdQGWKo?@?@??,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
15,7,120,484,slike_geodesic_min/graf_geodesic_min_mu7_n15.png,slike_geodesic_max/graf_geodesic_max_mu7_n15.png,N?`CSV~G?_?A?A?@??O,Nc_`AdQGWKo?@?@?O??,true,false,false,8,11,0,0,0,false,false,true,5,0,15,0,0
16,7,136,582,slike_geodesic_min/graf_geodesic_min_mu7_n16.png,slike_geodesic_max/graf_geodesic_max_mu7_n16.png,O?`CSV~G?_?A?A?@??O?A,Oc?`AdQGWK`?@???__CO?,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
17,7,153,719,slike_geodesic_min/graf_geodesic_min_mu7_n17.png,slike_geodesic_max/graf_geodesic_max_mu7_n17.png,P?`CSV~G?_?A?A?@??O?A??G,Pc?`AdAGWKp?????__O?A@?_,true,false,false,8,11,0,0,0,false,false,true,4,0,12,0,0
18,7,171,796,slike_geodesic_min/graf_geodesic_min_mu7_n18.png,slike_geodesic_max/graf_geodesic_max_mu7_n18.png,Q?`CSV~G?_?A?A?@??O?A??G??O,Qc?`AdQGWKp???@?_?S??@????O,true,false,false,8,11,0,0,0,false,false,true,4,0,15,0,0
19,7,190,1076,slike_geodesic_min/graf_geodesic_min_mu7_n19.png,slike_geodesic_max/graf_geodesic_max_mu7_n19.png,R?`CSV~G?_?A?A?@??O?A??G??O??O,REo`?cQGWKo???@???W??@?GG?O?C?,true,false,false,8,11,0,0,0,false,false,true,4,0,12,0,0
20,7,210,1374,slike_geodesic_min/graf_geodesic_min_mu7_n20.png,slike_geodesic_max/graf_geodesic_max_mu7_n20.png,S?`CSV~G?_?A?A?@??O?A??G??O??O??G,SEo`?cQGWK_??@@???W??@?GG?O?C???_,true,false,false,8,11,0,0,0,false,false,true,4,0,12,0,0
21,7,231,1564,slike_geodesic_min/graf_geodesic_min_mu7_n21.png,slike_geodesic_max/graf_geodesic_max_mu7_n21.png,T?`CSV~G?_?A?A?@??O?A??G??O??O??G??A,TCo`?cQGWG_???@???i??@?GG?O?D???_W??,true,false,false,8,11,0,0,0,false,false,true,4,0,9,0,0
22,7,253,1889,slike_geodesic_min/graf_geodesic_min_mu7_n22.png,slike_geodesic_max/graf_geodesic_max_mu7_n22.png,U?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O,UCo`?cQGWK?_??????i??@?GG?O?@???_W????_O,true,false,false,8,11,0,0,0,false,false,true,4,0,9,0,0
23,7,276,2219,slike_geodesic_min/graf_geodesic_min_mu7_n23.png,slike_geodesic_max/graf_geodesic_max_mu7_n23.png,V?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O??@?,VCo`?cQGWK????????i?C@?GG?O?@???_W?????OG@??,true,false,false,8,11,0,0,0,false,false,true,5,0,9,0,0
24,7,300,2570,slike_geodesic_min/graf_geodesic_min_mu7_n24.png,slike_geodesic_max/graf_geodesic_max_mu7_n24.png,W?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O??@???A,WCo`?cQ?OK_?A?@???i?C@?G??O?????cW????G?G@???C?,true,false,false,8,11,0,0,0,false,false,true,6,0,8,0,0
25,7,325,2986,slike_geodesic_min/graf_geodesic_min_mu7_n25.png,slike_geodesic_max/graf_geodesic_max_mu7_n25.png,X?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O??@???A???A,XCo`?cQ?OK_?A?@???i?C@?G??O?????cW????G?G@???C???G?,true,false,false,8,11,0,0,0,false,false,true,7,0,8,0,0
26,7,351,3709,slike_geodesic_min/graf_geodesic_min_mu7_n26.png,slike_geodesic_max/graf_geodesic_max_mu7_n26.png,Y?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@?,YCo`?cQC?K???@@???I????GG?O?C_?C_W????G?G@???C?@?G???_??,true,false,false,8,11,0,0,0,false,false,true,6,0,8,0,0
27,7,378,4870,slike_geodesic_min/graf_geodesic_min_mu7_n27.png,slike_geodesic_max/graf_geodesic_max_mu7_n27.png,Z?`CSV~G?_?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@????O,ZCo`?cQ??K???D@???I????GG?O?C_?C_W????G?G@???C?@?G???_???C??,true,false,false,8,11,0,0,0,false,false,true,7,0,8,0,0
