n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
8,8,37,74,slike_geodesic_min/graf_geodesic_min_mu8_n8.png,slike_geodesic_max/graf_geodesic_max_mu8_n8.png,GCdcv{,G?zvf_
9,8,45,105,slike_geodesic_min/graf_geodesic_min_mu8_n9.png,slike_geodesic_max/graf_geodesic_max_mu8_n9.png,HCOccf~,H?ovfbo
10,1,55,72,slike_geodesic_min/graf_geodesic_min_mu1_n10.png,slike_geodesic_max/graf_geodesic_max_mu1_n10.png,I???CB~O?,IAa@@OKP?
11,1,66,87,slike_geodesic_min/graf_geodesic_min_mu1_n11.png,slike_geodesic_max/graf_geodesic_max_mu1_n11.png,J???CB~O@??,JAa@@OKP?O?
12,1,78,104,slike_geodesic_min/graf_geodesic_min_mu1_n12.png,slike_geodesic_max/graf_geodesic_max_mu1_n12.png,K???CB~O@?A?,K@cH@?C@ACD?
13,1,91,122,slike_geodesic_min/graf_geodesic_min_mu1_n13.png,slike_geodesic_max/graf_geodesic_max_mu1_n13.png,L???CB~O@?A?A?,L@cH@?C@ACD?G?
14,1,105,142,slike_geodesic_min/graf_geodesic_min_mu1_n14.png,slike_geodesic_max/graf_geodesic_max_mu1_n14.png,M???CB~O@?A?A?@??,M?A@Q?gCG?OP_?S??
15,1,120,163,slike_geodesic_min/graf_geodesic_min_mu1_n15.png,slike_geodesic_max/graf_geodesic_max_mu1_n15.png,N???CB~O@?A?A?@??O?,N?A@Q?gCG?OP_?S?O??
16,1,136,186,slike_geodesic_min/graf_geodesic_min_mu1_n16.png,slike_geodesic_max/graf_geodesic_max_mu1_n16.png,O???CB~O@?A?A?@??O??_,OO?G@DWG?@?CA?G??CE?O
17,1,153,210,slike_geodesic_min/graf_geodesic_min_mu1_n17.png,slike_geodesic_max/graf_geodesic_max_mu1_n17.png,P???CB~O@?A?A?@??O??_?A?,PO?G@DWG?@?CA?G??CE?O?G?
18,1,171,236,slike_geodesic_min/graf_geodesic_min_mu1_n18.png,slike_geodesic_max/graf_geodesic_max_mu1_n18.png,Q???CB~O@?A?A?@??O??_?A??C?,Q_C?@@?G@C?_?@H?PAA??A??_?_
